,rpt_dt,addr_pct_cd,ofns_desc,loc_of_occur_desc,prem_typ_desc,latitude,longitude,lat_lon,coords_list
118,2020-07-17T00:00:00.000,25,GRAND LARCENY,,STREET,40.80080079100002,-73.93491836899994,"{'latitude': '40.80080079100002', 'longitude': '-73.93491836899994'}","['40.80080079100002', '-73.93491836899994']"
119,2020-07-17T00:00:00.000,41,PETIT LARCENY,FRONT OF,STREET,40.81903532000007,-73.90188580799997,"{'latitude': '40.81903532000007', 'longitude': '-73.90188580799997'}","['40.81903532000007', '-73.90188580799997']"
120,2020-07-17T00:00:00.000,71,PETIT LARCENY,,STREET,40.66568820300005,-73.93142036399996,"{'latitude': '40.66568820300005', 'longitude': '-73.93142036399996'}","['40.66568820300005', '-73.93142036399996']"
121,2020-07-15T00:00:00.000,14,HARRASSMENT 2,INSIDE,HOMELESS SHELTER,40.754089855000075,-73.99394129799998,"{'latitude': '40.754089855000075', 'longitude': '-73.99394129799998'}","['40.754089855000075', '-73.99394129799998']"
122,2020-07-14T00:00:00.000,44,FELONY ASSAULT,FRONT OF,STREET,40.841224391000026,-73.92076572399996,"{'latitude': '40.841224391000026', 'longitude': '-73.92076572399996'}","['40.841224391000026', '-73.92076572399996']"
123,2020-07-13T00:00:00.000,73,SEX CRIMES,INSIDE,OTHER,40.670655072000045,-73.91339091999998,"{'latitude': '40.670655072000045', 'longitude': '-73.91339091999998'}","['40.670655072000045', '-73.91339091999998']"
124,2020-07-13T00:00:00.000,70,HARRASSMENT 2,INSIDE,DOCTOR/DENTIST OFFICE,40.63608841000007,-73.96054500199995,"{'latitude': '40.63608841000007', 'longitude': '-73.96054500199995'}","['40.63608841000007', '-73.96054500199995']"
125,2020-07-13T00:00:00.000,77,FELONY ASSAULT,,STREET,40.67489469500004,-73.92776253999993,"{'latitude': '40.67489469500004', 'longitude': '-73.92776253999993'}","['40.67489469500004', '-73.92776253999993']"
126,2020-07-12T00:00:00.000,79,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.68593576000006,-73.94007844399994,"{'latitude': '40.68593576000006', 'longitude': '-73.94007844399994'}","['40.68593576000006', '-73.94007844399994']"
127,2020-07-12T00:00:00.000,103,SEX CRIMES,,STREET,40.70704747500002,-73.79261190399995,"{'latitude': '40.70704747500002', 'longitude': '-73.79261190399995'}","['40.70704747500002', '-73.79261190399995']"
128,2020-07-12T00:00:00.000,72,VEHICLE AND TRAFFIC LAWS,,STREET,40.645358010000045,-74.01374518799997,"{'latitude': '40.645358010000045', 'longitude': '-74.01374518799997'}","['40.645358010000045', '-74.01374518799997']"
129,2020-07-12T00:00:00.000,61,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.58615896100008,-73.93816979699994,"{'latitude': '40.58615896100008', 'longitude': '-73.93816979699994'}","['40.58615896100008', '-73.93816979699994']"
130,2020-06-10T00:00:00.000,106,CRIMINAL MISCHIEF & RELATED OF,,OTHER,40.67056503200007,-73.85633324499997,"{'latitude': '40.67056503200007', 'longitude': '-73.85633324499997'}","['40.67056503200007', '-73.85633324499997']"
131,2020-07-11T00:00:00.000,44,PETIT LARCENY,,STREET,40.843024178000064,-73.90862706999997,"{'latitude': '40.843024178000064', 'longitude': '-73.90862706999997'}","['40.843024178000064', '-73.90862706999997']"
132,2020-07-10T00:00:00.000,42,HARRASSMENT 2,INSIDE,GROCERY/BODEGA,40.82969246900007,-73.89803980099998,"{'latitude': '40.82969246900007', 'longitude': '-73.89803980099998'}","['40.82969246900007', '-73.89803980099998']"
133,2020-07-09T00:00:00.000,52,FELONY ASSAULT,,STREET,40.87071749600005,-73.89189888199996,"{'latitude': '40.87071749600005', 'longitude': '-73.89189888199996'}","['40.87071749600005', '-73.89189888199996']"
134,2020-07-09T00:00:00.000,73,HARRASSMENT 2,FRONT OF,RESIDENCE - APT. HOUSE,40.68272838100006,-73.91579454399994,"{'latitude': '40.68272838100006', 'longitude': '-73.91579454399994'}","['40.68272838100006', '-73.91579454399994']"
135,2020-07-07T00:00:00.000,45,ASSAULT 3 & RELATED OFFENSES,,STREET,40.871019130000036,-73.82827957199999,"{'latitude': '40.871019130000036', 'longitude': '-73.82827957199999'}","['40.871019130000036', '-73.82827957199999']"
136,2020-07-07T00:00:00.000,77,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,,40.66729861500005,-73.92575214099996,"{'latitude': '40.66729861500005', 'longitude': '-73.92575214099996'}","['40.66729861500005', '-73.92575214099996']"
137,2020-07-07T00:00:00.000,46,HARRASSMENT 2,,STREET,40.84790975100003,-73.91968064799994,"{'latitude': '40.84790975100003', 'longitude': '-73.91968064799994'}","['40.84790975100003', '-73.91968064799994']"
138,2020-07-06T00:00:00.000,67,FELONY ASSAULT,OPPOSITE OF,STREET,40.644332947000066,-73.95129008599997,"{'latitude': '40.644332947000066', 'longitude': '-73.95129008599997'}","['40.644332947000066', '-73.95129008599997']"
139,2020-07-05T00:00:00.000,63,FELONY ASSAULT,,STREET,40.62231598700004,-73.94311822499998,"{'latitude': '40.62231598700004', 'longitude': '-73.94311822499998'}","['40.62231598700004', '-73.94311822499998']"
140,2020-07-05T00:00:00.000,75,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.673761118000066,-73.87880377199998,"{'latitude': '40.673761118000066', 'longitude': '-73.87880377199998'}","['40.673761118000066', '-73.87880377199998']"
141,2020-07-04T00:00:00.000,105,HARRASSMENT 2,REAR OF,OTHER,40.674383681000045,-73.73829478299997,"{'latitude': '40.674383681000045', 'longitude': '-73.73829478299997'}","['40.674383681000045', '-73.73829478299997']"
142,2020-07-04T00:00:00.000,52,MISCELLANEOUS PENAL LAW,INSIDE,RESIDENCE - APT. HOUSE,40.86840712200007,-73.89260767699994,"{'latitude': '40.86840712200007', 'longitude': '-73.89260767699994'}","['40.86840712200007', '-73.89260767699994']"
143,2020-07-03T00:00:00.000,115,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,,40.753836001000025,-73.87290114099994,"{'latitude': '40.753836001000025', 'longitude': '-73.87290114099994'}","['40.753836001000025', '-73.87290114099994']"
144,2020-06-07T00:00:00.000,5,BURGLARY,INSIDE,FAST FOOD,40.71889950700007,-74.00231744599995,"{'latitude': '40.71889950700007', 'longitude': '-74.00231744599995'}","['40.71889950700007', '-74.00231744599995']"
145,2020-06-08T00:00:00.000,75,PETIT LARCENY,FRONT OF,STREET,40.658689597000034,-73.87887079899998,"{'latitude': '40.658689597000034', 'longitude': '-73.87887079899998'}","['40.658689597000034', '-73.87887079899998']"
146,2020-07-02T00:00:00.000,63,BURGLARY,INSIDE,CHURCH,40.634697479000074,-73.92796818199997,"{'latitude': '40.634697479000074', 'longitude': '-73.92796818199997'}","['40.634697479000074', '-73.92796818199997']"
147,2020-07-01T00:00:00.000,52,INTOXICATED & IMPAIRED DRIVING,,STREET,40.86275836700002,-73.90493406199994,"{'latitude': '40.86275836700002', 'longitude': '-73.90493406199994'}","['40.86275836700002', '-73.90493406199994']"
148,2020-07-01T00:00:00.000,33,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,40.83531944700008,-73.94203990499993,"{'latitude': '40.83531944700008', 'longitude': '-73.94203990499993'}","['40.83531944700008', '-73.94203990499993']"
149,2020-06-30T00:00:00.000,79,CRIMINAL MISCHIEF & RELATED OF,,STREET,40.685539678000055,-73.95655311199994,"{'latitude': '40.685539678000055', 'longitude': '-73.95655311199994'}","['40.685539678000055', '-73.95655311199994']"
